Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
MALE,MARRIED,1,COLLEGE,NO,4583,1508,128,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,YES,3000,0,66,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,2583,2358,120,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,6000,0,141,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,YES,5417,4196,267,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,2333,1516,95,360,YES,URBAN,Y
MALE,MARRIED,3,COLLEGE,NO,3036,2504,158,360,NO,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,4006,1526,168,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,12841,10968,349,360,YES,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,3200,700,70,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,NO,3073,8106,200,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,1853,2840,114,360,YES,RURAL,N
MALE,MARRIED,2,COLLEGE,NO,1299,1086,17,120,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4950,0,125,360,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,3510,0,76,360,NO,URBAN,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,4887,0,133,360,YES,RURAL,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,7660,0,104,360,NO,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,5955,5625,315,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,2600,1911,116,360,NO,SUBURBAN,N
MALE,MARRIED,2,HIGH_SCHOOL,NO,3365,1917,112,360,NO,RURAL,N
MALE,MARRIED,0,COLLEGE,YES,9560,0,191,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2799,2253,122,360,YES,SUBURBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,4226,1040,110,360,YES,URBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,1442,0,35,360,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,3167,0,74,360,YES,URBAN,N
MALE,SINGLE,1,COLLEGE,YES,4692,0,106,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,NO,3500,1667,114,360,YES,SUBURBAN,Y
MALE,SINGLE,3,COLLEGE,NO,12500,3000,320,360,YES,RURAL,N
FEMALE,MARRIED,0,COLLEGE,NO,3667,1459,144,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4166,7210,184,360,YES,URBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,3748,1668,110,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3600,0,80,360,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,1800,1213,47,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3941,2336,134,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,5649,0,44,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5821,0,144,360,YES,URBAN,Y
FEMALE,MARRIED,0,COLLEGE,NO,2645,3440,120,360,NO,URBAN,N
FEMALE,SINGLE,0,COLLEGE,NO,4000,2275,144,360,YES,SUBURBAN,Y
FEMALE,MARRIED,0,HIGH_SCHOOL,NO,1928,1644,100,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,3086,0,120,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,4230,0,112,360,YES,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,4616,0,134,360,YES,URBAN,N
FEMALE,MARRIED,1,COLLEGE,YES,11500,0,286,360,NO,URBAN,N
MALE,MARRIED,2,COLLEGE,NO,2708,1167,97,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2132,1591,96,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3366,2200,135,360,YES,RURAL,N
MALE,MARRIED,1,COLLEGE,NO,8080,2250,180,360,YES,URBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,3357,2859,144,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2500,3796,120,360,YES,URBAN,Y
MALE,MARRIED,3,COLLEGE,NO,3029,0,99,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,YES,2609,3449,165,180,NO,RURAL,N
FEMALE,SINGLE,0,COLLEGE,NO,4166,0,116,360,NO,SUBURBAN,N
MALE,MARRIED,0,COLLEGE,NO,5726,4595,258,360,YES,SUBURBAN,N
MALE,SINGLE,0,HIGH_SCHOOL,NO,3200,2254,126,180,NO,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,10750,0,312,360,YES,URBAN,Y
MALE,MARRIED,3,HIGH_SCHOOL,YES,7100,0,125,60,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,4300,0,136,360,NO,SUBURBAN,N
MALE,MARRIED,0,COLLEGE,NO,3208,3066,172,360,YES,URBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,YES,1875,1875,97,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3500,0,81,300,YES,SUBURBAN,Y
MALE,MARRIED,3,COLLEGE,YES,5266,1774,187,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3750,0,113,480,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,3750,4750,176,360,YES,URBAN,N
MALE,MARRIED,1,COLLEGE,YES,1000,3022,110,360,YES,URBAN,N
MALE,MARRIED,3,COLLEGE,NO,3167,4000,180,300,NO,SUBURBAN,N
FEMALE,SINGLE,0,COLLEGE,NO,3846,0,111,360,YES,SUBURBAN,Y
FEMALE,MARRIED,2,COLLEGE,NO,1378,1881,167,360,YES,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,3988,0,50,240,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,2366,2531,136,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2500,2118,104,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,8566,0,210,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5695,4167,175,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2958,2900,131,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,6250,5654,188,180,YES,SUBURBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,3273,1820,81,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4133,0,122,360,YES,SUBURBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,3620,0,25,120,YES,SUBURBAN,Y
FEMALE,MARRIED,0,COLLEGE,NO,2484,2302,137,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,1977,997,50,360,YES,SUBURBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,4188,0,115,180,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,1759,3541,131,360,YES,SUBURBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,4288,3263,133,180,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4843,3806,151,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3816,754,160,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,3052,1030,100,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,NO,11417,1126,225,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,NO,3800,3600,216,360,NO,URBAN,N
MALE,MARRIED,3,HIGH_SCHOOL,NO,2071,754,94,480,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,5316,0,136,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,14583,0,185,180,YES,RURAL,Y
FEMALE,MARRIED,0,COLLEGE,NO,3167,2283,154,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5568,2142,175,360,YES,RURAL,N
FEMALE,SINGLE,0,COLLEGE,NO,10408,0,259,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5667,2667,180,360,YES,RURAL,Y
FEMALE,SINGLE,0,COLLEGE,NO,4166,0,44,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,2137,8980,137,360,NO,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,2957,0,81,360,YES,SUBURBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,4300,2014,194,360,YES,RURAL,Y
FEMALE,MARRIED,3,COLLEGE,NO,23803,0,370,360,YES,RURAL,Y
MALE,MARRIED,1,COLLEGE,YES,10513,3850,160,180,NO,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,2014,1929,74,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,2718,0,70,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,YES,3459,0,25,120,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4895,0,102,360,YES,SUBURBAN,Y
MALE,MARRIED,3,COLLEGE,NO,4000,7750,290,360,YES,SUBURBAN,N
FEMALE,MARRIED,0,COLLEGE,NO,4583,0,84,360,YES,RURAL,N
MALE,MARRIED,2,COLLEGE,YES,3316,3500,88,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,14999,0,242,360,NO,SUBURBAN,N
MALE,MARRIED,2,HIGH_SCHOOL,NO,4200,1430,129,360,YES,RURAL,N
MALE,MARRIED,2,COLLEGE,NO,5042,2083,185,360,YES,RURAL,N
MALE,SINGLE,0,COLLEGE,NO,5417,0,168,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,YES,6950,0,175,180,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2698,2034,122,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,11757,0,187,180,YES,URBAN,Y
FEMALE,MARRIED,0,COLLEGE,NO,2330,4486,100,360,YES,SUBURBAN,Y
FEMALE,MARRIED,2,COLLEGE,NO,14866,0,70,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,1538,1425,30,360,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,10000,1666,225,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,NO,4860,830,125,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,6277,0,118,360,NO,RURAL,N
MALE,MARRIED,0,COLLEGE,YES,2577,3750,152,360,YES,RURAL,Y
MALE,SINGLE,0,COLLEGE,NO,9166,0,244,360,YES,URBAN,N
MALE,MARRIED,2,HIGH_SCHOOL,NO,2281,0,113,360,YES,RURAL,N
MALE,SINGLE,0,COLLEGE,NO,3254,0,50,360,YES,URBAN,Y
MALE,MARRIED,3,COLLEGE,NO,39999,0,600,180,NO,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,9538,0,187,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,4583,5625,255,360,YES,SUBURBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,1863,1041,98,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,7933,0,275,360,YES,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,3089,1280,121,360,NO,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,4167,1447,158,360,YES,RURAL,Y
MALE,MARRIED,0,COLLEGE,NO,9323,0,75,180,YES,URBAN,Y
FEMALE,MARRIED,0,COLLEGE,NO,4583,0,112,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,NO,2439,3333,129,360,YES,RURAL,Y
MALE,SINGLE,0,COLLEGE,NO,2237,0,63,480,NO,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,8000,0,200,360,YES,SUBURBAN,Y
MALE,MARRIED,3,COLLEGE,NO,51763,0,700,300,YES,URBAN,Y
FEMALE,MARRIED,3,HIGH_SCHOOL,NO,3522,0,81,180,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,NO,5708,5625,187,360,YES,SUBURBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,YES,4344,736,87,360,YES,SUBURBAN,N
MALE,MARRIED,0,COLLEGE,NO,3497,1964,116,360,YES,RURAL,Y
MALE,MARRIED,2,COLLEGE,NO,2045,1619,101,360,YES,RURAL,Y
MALE,MARRIED,3,COLLEGE,NO,5516,11300,495,360,NO,SUBURBAN,N
MALE,MARRIED,1,COLLEGE,NO,3750,0,116,360,YES,SUBURBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,2333,1451,102,480,NO,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,6400,7250,180,360,NO,URBAN,N
MALE,MARRIED,0,COLLEGE,NO,4600,0,73,180,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,33846,0,260,360,YES,SUBURBAN,N
FEMALE,MARRIED,0,COLLEGE,NO,3625,0,108,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,YES,39147,4750,120,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,YES,2178,0,66,300,NO,RURAL,N
MALE,MARRIED,0,COLLEGE,YES,674,5296,168,360,YES,RURAL,Y
FEMALE,MARRIED,0,COLLEGE,NO,9328,0,188,180,YES,RURAL,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,4885,0,48,360,YES,RURAL,Y
MALE,SINGLE,0,COLLEGE,NO,12000,0,164,360,YES,SUBURBAN,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,6033,0,160,360,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,3858,0,76,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4191,0,120,360,YES,RURAL,Y
MALE,MARRIED,1,COLLEGE,NO,3125,2583,170,360,YES,SUBURBAN,N
MALE,SINGLE,0,COLLEGE,NO,8333,3750,187,360,YES,RURAL,Y
MALE,SINGLE,0,COLLEGE,YES,11000,0,83,360,YES,URBAN,N
MALE,MARRIED,1,HIGH_SCHOOL,NO,2600,2500,90,360,YES,SUBURBAN,Y
MALE,SINGLE,2,COLLEGE,NO,4923,0,166,360,NO,SUBURBAN,Y
MALE,MARRIED,1,HIGH_SCHOOL,NO,3500,1083,135,360,YES,URBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,3917,0,124,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,HIGH_SCHOOL,NO,4408,0,120,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,3244,0,80,360,YES,URBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,3975,2531,55,360,YES,RURAL,Y
MALE,SINGLE,0,COLLEGE,NO,2479,0,59,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3418,0,127,360,YES,SUBURBAN,N
FEMALE,SINGLE,0,COLLEGE,NO,10000,0,214,360,YES,SUBURBAN,N
MALE,MARRIED,3,COLLEGE,NO,3430,1250,128,360,NO,SUBURBAN,N
MALE,MARRIED,1,COLLEGE,YES,7787,0,240,360,YES,URBAN,Y
MALE,MARRIED,3,HIGH_SCHOOL,YES,5703,0,130,360,YES,RURAL,Y
MALE,MARRIED,0,COLLEGE,NO,3173,3021,137,360,YES,URBAN,Y
MALE,MARRIED,3,HIGH_SCHOOL,NO,3850,983,100,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,150,1800,135,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,NO,3727,1775,131,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2221,0,60,360,NO,URBAN,N
MALE,MARRIED,2,COLLEGE,NO,4009,1717,116,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,2971,2791,144,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,6250,0,128,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3250,0,170,360,YES,RURAL,N
MALE,MARRIED,0,HIGH_SCHOOL,YES,4735,0,138,360,YES,URBAN,N
MALE,MARRIED,2,COLLEGE,NO,6250,1695,210,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4758,0,158,480,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,YES,6400,0,200,360,YES,RURAL,Y
MALE,MARRIED,1,COLLEGE,NO,2491,2054,104,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,8333,0,280,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,3155,1779,140,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,5500,1260,170,360,YES,RURAL,Y
FEMALE,SINGLE,1,COLLEGE,NO,3812,0,112,360,YES,RURAL,Y
MALE,MARRIED,1,COLLEGE,NO,3315,0,96,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,5819,5000,120,360,YES,RURAL,Y
MALE,MARRIED,1,HIGH_SCHOOL,NO,2510,1983,140,180,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,2965,5701,155,60,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,YES,6250,1300,108,360,YES,RURAL,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,3406,4417,123,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,YES,6050,4333,120,180,YES,URBAN,N
MALE,MARRIED,2,COLLEGE,NO,9703,0,112,360,YES,URBAN,Y
MALE,MARRIED,1,HIGH_SCHOOL,NO,6608,0,137,180,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,2882,1843,123,480,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,1809,1868,90,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,1668,3890,201,360,NO,SUBURBAN,N
FEMALE,SINGLE,2,COLLEGE,NO,3427,0,138,360,YES,URBAN,N
MALE,SINGLE,0,HIGH_SCHOOL,YES,2583,2167,104,360,YES,RURAL,Y
MALE,MARRIED,1,HIGH_SCHOOL,NO,2661,7101,279,180,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,YES,16250,0,192,360,NO,URBAN,N
FEMALE,SINGLE,3,COLLEGE,NO,3083,0,255,360,YES,RURAL,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,6045,0,115,360,NO,RURAL,N
MALE,MARRIED,3,COLLEGE,NO,5250,0,94,360,YES,URBAN,N
MALE,MARRIED,0,COLLEGE,NO,14683,2100,304,360,YES,RURAL,N
MALE,SINGLE,0,COLLEGE,NO,2060,2209,134,360,YES,SUBURBAN,Y
FEMALE,SINGLE,1,COLLEGE,NO,3481,0,155,36,YES,SUBURBAN,N
FEMALE,SINGLE,0,COLLEGE,NO,7200,0,120,360,YES,RURAL,Y
MALE,SINGLE,0,COLLEGE,YES,5166,0,128,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4095,3447,151,360,YES,RURAL,Y
MALE,MARRIED,2,COLLEGE,NO,4708,1387,150,360,YES,SUBURBAN,Y
MALE,MARRIED,3,COLLEGE,NO,4333,1811,160,360,NO,URBAN,Y
FEMALE,SINGLE,1,COLLEGE,NO,2876,1560,90,360,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,3237,0,30,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,11146,0,136,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,2833,1857,126,360,YES,RURAL,Y
MALE,MARRIED,0,COLLEGE,NO,2620,2223,150,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,3900,0,90,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,2750,1842,115,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3993,3274,207,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3103,1300,80,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,14583,0,436,360,YES,SUBURBAN,Y
MALE,SINGLE,1,HIGH_SCHOOL,YES,4053,2426,158,360,NO,URBAN,N
MALE,MARRIED,0,COLLEGE,NO,3927,800,112,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,2301,985.7999878,78,180,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,1811,1666,54,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3158,3053,89,360,YES,RURAL,Y
FEMALE,SINGLE,0,COLLEGE,YES,2600,1717,99,300,YES,SUBURBAN,N
MALE,MARRIED,0,COLLEGE,NO,3704,2000,120,360,YES,RURAL,Y
FEMALE,SINGLE,0,COLLEGE,NO,4124,0,115,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,9508,0,187,360,YES,RURAL,Y
MALE,MARRIED,0,COLLEGE,NO,3075,2416,139,360,YES,RURAL,Y
MALE,MARRIED,2,COLLEGE,NO,4400,0,127,360,NO,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,3153,1560,134,360,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,5417,0,143,480,NO,URBAN,N
MALE,MARRIED,0,COLLEGE,NO,2383,3334,172,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,6875,0,200,360,YES,SUBURBAN,Y
FEMALE,MARRIED,1,COLLEGE,NO,4666,0,135,360,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,5000,2541,151,480,YES,RURAL,N
MALE,MARRIED,1,COLLEGE,NO,2014,2925,113,360,YES,URBAN,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,1800,2934,93,360,NO,URBAN,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,2875,1750,105,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,5000,0,132,360,YES,RURAL,Y
MALE,MARRIED,1,COLLEGE,NO,1625,1803,96,360,YES,URBAN,Y
